"","x1_age","x2_goods","y","ML","REML","FH","PR","n"
"1",11.215,0.087,0.842,0.829,0.83,0.83,0.829,158
"2",10.043,0.148,0.253,0.255,0.255,0.255,0.255,162
"3",9.45,0.106,0.675,0.625,0.628,0.627,0.626,40
"4",10.69,0.139,0.139,0.147,0.147,0.147,0.147,187
"5",10.767,0.132,0.226,0.235,0.234,0.234,0.234,133
"6",10.282,0.127,0.553,0.542,0.543,0.543,0.542,103
"7",11.75,0.103,0.5,0.519,0.519,0.519,0.519,8
"8",10.433,0.157,0.133,0.135,0.135,0.135,0.135,547
"9",14,0.097,0.789,0.784,0.784,0.784,0.784,19
"10",9.543,0.148,0.165,0.17,0.17,0.17,0.17,127
"11",10.933,0.142,0.569,0.564,0.564,0.564,0.564,209
"12",11.4,0.116,0.425,0.434,0.434,0.434,0.434,40
"13",15.9,0.152,1,0.95,0.952,0.952,0.951,10
"14",10.277,0.063,0.154,0.161,0.16,0.16,0.16,292
"15",9.203,0.126,0.61,0.575,0.578,0.577,0.577,59
"16",11.122,0.094,0.673,0.652,0.653,0.653,0.653,49
"17",10.534,0.139,0.328,0.329,0.329,0.329,0.329,238
"18",9.969,0.142,0.443,0.435,0.436,0.435,0.435,97
"19",10.886,0.265,0.259,0.259,0.259,0.259,0.259,887
"20",9.191,0.145,0.191,0.195,0.195,0.195,0.195,68
"21",10.936,0.164,0.245,0.247,0.246,0.246,0.247,548
"22",10.325,0.11,0.27,0.276,0.276,0.276,0.276,126
"23",10.41,0.118,0.304,0.305,0.305,0.305,0.305,398
"24",9.978,0.077,0.435,0.432,0.432,0.432,0.432,46
"25",10.13,0.104,0.082,0.091,0.091,0.091,0.091,207
"26",8.929,0.11,0.214,0.229,0.228,0.228,0.229,14
"27",10.276,0.116,0.086,0.116,0.114,0.114,0.115,58
"28",13.4,0.119,0.711,0.707,0.707,0.707,0.707,45
"29",9.075,0.084,0.325,0.323,0.323,0.323,0.323,40
"30",11.687,0.119,0.53,0.529,0.529,0.529,0.529,83
"31",11.7,0.142,0.2,0.27,0.266,0.266,0.268,20
"32",10.907,0.132,0.426,0.425,0.425,0.425,0.425,54
"33",11.163,0.243,0.373,0.372,0.372,0.372,0.372,485
"34",10.36,0.111,0.92,0.859,0.864,0.863,0.861,50
"35",11.065,0.071,0.419,0.429,0.428,0.428,0.429,62
"36",11.333,0.171,0.485,0.482,0.482,0.482,0.482,171
"37",11.129,0.094,0.589,0.584,0.585,0.585,0.584,124
"38",10.443,0.117,0.656,0.648,0.649,0.649,0.649,212
"39",9.81,0.122,0.233,0.238,0.238,0.238,0.238,116
"40",12.176,0.128,0.353,0.407,0.404,0.405,0.406,17
